im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
1.06678, 15135.5
1.0935, 15135.5
1.12021, 15135.5
1.14692, 15135.5
1.17364, 15135.5
1.20035, 15135.5
1.22706, 15135.5
1.25377, 15135.5
1.28049, 15135.5
1.3072, 15135.5
1.33391, 15135.5
1.36063, 15135.5
1.38734, 15135.5
1.41405, 15135.5
1.44077, 15135.5
1.46748, 15135.5
1.49419, 15135.5
1.52091, 15135.5
1.54762, 15135.5
1.57433, 15135.5
1.60105, 15135.5
1.62776, 15135.5
1.65447, 15135.5
1.68118, 15135.5
1.7079, 15135.5
1.73461, 15135.5
1.76132, 15135.5
1.78804, 15135.5
1.81475, 15135.5
1.84146, 15135.5
1.86818, 15135.5
1.89489, 15135.5
1.9216, 15135.5
1.94832, 15135.5
1.97503, 15135.5
2.00174, 15135.5
2.02846, 15135.5
2.05517, 15135.5
2.08188, 15135.5
2.10859, 15135.5
2.13531, 15135.5
2.16202, 15135.5
2.18873, 15135.5
2.21545, 15135.5
2.24216, 15135.5
2.26887, 15135.5
2.29559, 15135.5
2.3223, 15135.5
2.34901, 15135.5
2.37573, 15135.5
2.40244, 15135.5
2.42915, 15135.5
2.45587, 15135.5
2.48258, 15135.5
2.50929, 15135.5
2.536, 15135.5
2.56272, 15135.5
2.58943, 15135.5
2.61614, 15135.5
2.64286, 15135.5
2.66957, 15135.5
2.69628, 15135.5
2.723, 15135.5
2.74971, 15135.5
2.77642, 15135.5
2.80314, 15135.5
2.82985, 15135.5
2.85656, 15135.5
2.88328, 15135.5
2.90999, 15135.5
2.9367, 15135.5
2.96341, 15135.5
2.99013, 15135.5
3.01684, 15135.5
3.04355, 15135.5
3.07027, 15135.5
3.09698, 15135.5
3.12369, 15135.5
3.15041, 15135.5
3.17712, 15135.5
3.20383, 15135.5
3.23055, 15135.5
3.25726, 15135.5
3.28397, 15135.5
3.31069, 15135.5
3.3374, 15135.5
3.36411, 15135.5
3.39082, 15135.5
3.41754, 15135.5
3.44425, 15135.5
3.47096, 15135.5
3.49768, 15135.5
3.52439, 15135.5
3.5511, 15135.5
3.57782, 15135.5
3.60453, 15135.5
3.63124, 15135.5
3.65796, 15135.5
3.68467, 15135.5
3.71138, 15135.5
3.7381, 15135.5
3.76481, 15135.5
3.79152, 15135.5
3.81823, 15135.5
3.84495, 15135.5
3.87166, 15135.5
3.89837, 15135.5
3.92509, 15135.5
3.9518, 15135.5
3.97851, 15135.5
4.00523, 15135.5
4.03194, 15135.5
4.05865, 15135.5
4.08537, 15135.5
4.11208, 15135.5
4.13879, 15135.5
4.16551, 15135.5
4.19222, 15135.5
4.21893, 15135.5
4.24564, 15135.5
4.27236, 15135.5
4.29907, 15135.5
4.32578, 15135.5
4.3525, 15135.5
4.37921, 15135.5
4.40592, 15135.5
4.43264, 15135.5
4.45935, 15135.5
4.48606, 15135.5
4.51278, 15135.5
4.53949, 15135.5
4.5662, 15135.5
4.59292, 15135.5
4.61963, 15135.5
4.64634, 15135.5
4.67305, 15135.5
4.69977, 15135.5
4.72648, 15135.5
4.75319, 15135.5
4.77991, 15135.5
4.80662, 15135.5
4.83333, 15135.5
4.86005, 15135.5
4.88676, 15135.5
4.91347, 15135.5
4.94019, 15135.5
4.9669, 15135.5
4.99361, 15135.5
5.02033, 15135.5
5.04704, 15135.5
5.07375, 15135.5
5.10046, 15135.5
5.12718, 15135.5
5.15389, 15135.5
5.1806, 15135.5
5.20732, 15135.5
5.23403, 15135.5
5.26074, 15135.5
5.28746, 15135.5
5.31417, 15135.5
5.34088, 15135.5
5.3676, 15135.5
5.39431, 15135.5
5.42102, 15135.5
5.44774, 15135.5
5.47445, 15135.5
5.50116, 15135.5
5.52787, 15135.5
5.55459, 15135.5
5.5813, 15135.5
5.60801, 15135.5
5.63473, 15135.5
5.66144, 15135.5
5.68815, 15135.5
5.71487, 15135.5
5.74158, 15135.5
5.76829, 15135.5
5.79501, 15135.5
5.82172, 15135.5
5.84843, 15135.5
5.87515, 15135.5
5.90186, 15135.5
5.92857, 15135.5
5.95528, 15135.5
5.982, 15135.5
6.00871, 15135.5
6.03542, 15135.5
6.06214, 15135.5
6.08885, 15135.5
6.11556, 15135.5
6.14228, 15135.5
6.16899, 15135.5
6.1957, 15135.5
6.22242, 15135.5
6.24913, 15135.5
6.27584, 15135.5
6.30256, 15135.5
6.32927, 15135.5
