Maximum,,Minimum,
X,Y,X,Y
0.03732503888024841,499.98345521326246,0,212.76595744680844
1.007776049766718,393.17031203467786,1.007776049766718,212.3192482048903
1.9782270606531873,371.4635518348168,1.996889580093312,211.88081135634138
2.9860031104199067,333.7828000397062,2.9860031104199067,211.44237450779247
3.9937791601866253,413.1233248403428,3.9937791601866253,147.1658780318321
5.001555209953343,497.78299857714865,5.001555209953343,72.25108368353176
6.00933125972006,539.8894808245923,6.00933125972006,50.52777869693318
7.01710730948678,746.8895800933124,6.998444790046655,-56.29363687502064
7.98755832037325,1049.650904999835,7.98755832037325,7.097713510473113
8.995334370139968,1325.7999404387683,8.995334370139968,6.651004268555425
10.003110419906687,1399.8213163032333,10.003110419906687,27.480890771318172
11.010886469673405,1431.2895006783365,10.992223950233281,58.957347539790135
11.981337480559874,1367.0295489891137,11.999999999999998,47.87234042553246
12.989113530326593,1313.3913503854933,12.989113530326593,26.157307832302195
13.95956454121306,1781.0462923132918,13.996889580093308,110.81698156910761
15.00466562986003,1589.0936765825086,15.00466562986003,142.2851659442108
15.975116640746501,2195.046490850733,16.01244167962675,56.732073723569556
16.982892690513218,1960.5572284173259,17.001555209953345,35.01704113033975
18.009331259720064,1279.2511829522514,17.990668740279936,23.94030640945084
18.99844479004666,1246.8978524866816,18.99844479004666,23.493597167532698
20.006220839813377,895.3873134575297,20.006220839813377,23.04688792561501
20.995334370139968,937.5020680983421,20.995334370139968,65.16164256642742
22.003110419906687,1958.3319546011053,21.98444790046656,64.7232057178785
22.992223950233285,1734.4892624334075,22.992223950233285,64.27649647596081
24,1351.0638297872338,24,74.46808510638311
