Minimum,,Maximum,
X,Y,X,Y
0,126.23274161735708,0,189.3491124260354
0.9948186528497409,110.29013500117526,0.9948186528497409,291.7497010761258
1.9896373056994818,110.12662108716313,2.010362694300518,216.6320902869329
3.005181347150259,109.95970063327559,3.005181347150259,220.41334954846297
4.020725388601037,109.79278017938805,4.020725388601037,267.5837072010845
5.015544041450778,93.85017356320623,5.015544041450778,251.6411005849027
6.010362694300519,-0.9878965638235968,6.010362694300519,204.14030856438148
7.00518134715026,6.738135873249121,7.00518134715026,109.30223843735166
8,-1.3149243918478533,8,180.1446416831027
8.994818652849741,37.96929344956425,8.994818652849741,428.5018378282625
10.031088082901555,14.13032740254721,9.989637305699482,503.2890142495562
11.025906735751295,13.966813488535081,11.005181347150259,447.8952693380752
12.020725388601036,53.25103132994718,12,431.9526627218934
13.01554404145078,139.8725272778679,13.01554404145078,676.3616791516351
14.010362694300522,131.81946701277093,14.010362694300522,802.4309068549801
15.005181347150259,151.3798189764707,15.005181347150259,1094.1806079311061
16.000000000000004,186.71926364234014,16.000000000000004,1464.8257725180804
16.994818652849744,478.4689647184664,16.994818652849744,1748.6859272431213
17.989637305699482,596.6486460707265,17.989637305699482,1472.3882910411407
18.984455958549226,399.2464733795937,19.0259067357513,935.728812173611
19.979274611398967,193.95475433737647,20.000000000000004,548.9809335963182
21.015544041450777,122.77851018385081,20.99481865284974,497.5353684002548
22.01036269430052,185.731367078517,21.96891191709845,382.97683893538806
23.005181347150263,154.00966776016594,23.005181347150263,363.0826460639132
24.000000000000004,145.95660749506897,24.000000000000004,485.20710059171597
