Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
20.95111593,651.7029975,,,,,,,,22.16076905,10236.17732
21.03928677,651.829862,,,,,,,,22.24888914,10219.03792
21.14504102,634.7158394,,,,,,,,22.33695849,10184.63227
21.2505923,548.5367764,,,,,,,,22.42497709,10132.96035
21.33856015,479.5986007,,,,,,,,22.51304643,10098.5547
21.42673099,479.7254652,,,,,,,,22.60106503,10046.88278
21.51490182,479.8523297,,,,,,,,22.6893881,10098.80843
21.60307266,479.9791942,,,,,,,,22.77760968,10116.20155
21.72646108,462.8905445,,,,,,,,22.86593276,10168.12719
21.83226609,463.0427819,,,,,,,,22.9891182,10081.9735
21.93812183,480.4612794,,,,,,,,23.07708605,10013.03533
22.06181473,566.97019,,,,,,,,23.25302175,9875.158977
22.15008706,601.6295747,,,,,,,,23.34104035,9823.487061
22.23835939,636.2889593,,,,,,,,23.42916044,9806.347666
22.36205229,722.7978699,,,,,,,,23.51717904,9754.67575
22.45022312,722.9247345,,,,,,,,23.60524838,9720.270095
22.53839396,723.051599,,,,,,,,23.69346997,9737.663219
22.64419896,723.2038364,,,,,,,,23.78153931,9703.257564
22.7323698,723.3307009,,,,,,,,23.88724282,9668.877281
22.8203884,671.6587852,,,,,,,,23.95783024,9686.245032
22.94352309,568.2388351,,,,,,,,,
23.03169393,568.3656996,,,,,,,,,
23.11986476,568.4925642,,,,,,,,,
23.20808634,585.8856887,,,,,,,,,
23.29646016,655.0775935,,,,,,,,,
23.384631,655.204458,,,,,,,,,
23.47285258,672.5975826,,,,,,,,,
23.56107416,689.9907072,,,,,,,,,
23.66687916,690.1429446,,,,,,,,,
23.77268417,690.295182,,,,,,,,,
23.860855,690.4220465,,,,,,,,,
