Series 1: DRAWAL + THL,,,Series 2: DRAWL+THL+HYD,,,,Series 3: DEMAND,
,,,10.28083562,12441.48623,,,13.13332536,14791.09589
,,,10.37217532,12441.48623,,,13.46404072,14694.80041
,,,10.50910666,12422.22713,,,13.54396296,14694.80041
,,,10.6459989,12393.33849,,,13.63530266,14694.80041
,,,10.72592114,12393.33849,,,13.73821624,14733.3186
,,,10.95204142,11844.45426,,,13.98959594,14781.46634
,,,11.15978471,12393.33849,,,14.22951908,14819.98453
,,,11.33112486,12412.59758,,,14.35558042,14935.53911
,,,11.41096889,12393.33849,,,14.59565997,15012.57549
,,,11.74227083,12441.48623,,,14.73290415,15070.35278
,,,11.87931948,12451.11578,,,14.87003102,15099.24142
,,,11.98207665,12451.11578,,,15.01908371,15253.31418
,,,12.39341814,12528.15216,,,15.15628878,15301.46192
,,,12.60886394,12162.22934,,,15.36219415,15397.7574
,,,12.7342214,12104.45205,,,15.62338802,15051.09368
,,,12.81410454,12094.82251,,,15.80630205,15108.87097
,,,12.93969662,12094.82251,,,15.96692862,15301.46192
,,,13.01954065,12075.56341,,,16.08122056,15330.35057
,,,13.10943348,11719.27014,,,16.18362578,15243.68464
,,,13.18970766,11805.93607,,,16.3546922,15195.5369
,,,13.29203467,11700.01105,,,16.51524056,15368.86876
,,,13.39475273,11690.3815,,,16.83442115,15243.68464
,,,13.48601422,11671.1224,,,16.92579995,15253.31418
,,,13.56578004,11632.60421,,,17.19907606,15070.35278
,,,13.70314153,11719.27014,,,17.4499474,14993.31639
,,,13.77180272,11757.78833,,,17.86046769,14868.13227
,,,13.90889048,11777.04743,,,17.96322485,14868.13227
,,,14.13665316,11632.60421,,,18.05479918,14925.90956
,,,14.25164899,11834.82472,,,18.15743903,14897.02092
,,,14.37716287,11815.56562,,,18.32846634,14839.24363
,,,14.58287272,11863.71336,,,18.44303201,14935.53911
,,,14.69779033,12046.67477,,,18.63654231,14791.09589
,,,14.78854346,11902.23155,,,18.87595708,14704.42996
,,,14.86959974,12181.48844,,,19.05918394,14839.24363
,,,15.00719586,12325.93165,,,19.47013439,14819.98453
,,,15.16731407,12393.33849,,,19.60690931,14762.20725
,,,15.33892795,12480.00442,,,19.83580603,14897.02092
,,,15.59019033,12499.26351,,,19.91561095,14868.13227
,,,15.78381794,12383.70894,,,20.31537856,14906.65046
,,,16.02510974,12759.26131,,,20.39541811,14935.53911
,,,16.12778869,12740.00221,,,20.48687512,14964.42775
,,,16.24172869,12682.22492,,,20.63553677,15022.20504
,,,16.36743809,12711.11357,,,20.72675915,14993.31639
,,,16.48192556,12788.14995,,,21.00077825,14993.31639
,,,16.60767406,12826.66814,,,21.38822899,14810.35499
,,,16.82491869,12903.70452,,,21.47972511,14848.87318
,,,16.96204555,12932.59317,,,21.79937495,14839.24363
,,,17.29280003,12845.92724,,,21.90248406,14925.90956
,,,17.6461939,12711.11357,,,22.06225033,14906.65046
,,,17.78308613,12682.22492,,,22.24457778,14819.98453
,,,17.9428133,12653.33628,,,22.50714032,14810.35499
,,,18.07978374,12643.70673,,,22.67840226,14810.35499
,,,18.26199388,12528.15216,,,22.79261599,14819.98453
,,,18.39915985,12566.67035,,,22.99695717,14531.0981
,,,18.60490881,12624.44764,,,23.16786716,14444.43217
,,,18.70743134,12566.67035,,,23.50917879,14145.91619
,,,18.87845865,12508.89306,,,23.66890595,14117.02754
,,,18.96979835,12508.89306,,,23.74874998,14097.76845
,,,19.07255552,12508.89306,,,23.81709834,14059.25026
,,,19.17484342,12393.33849,,,,
,,,19.32268386,12248.89527,,,,
,,,19.42528461,12210.37708,,,,
,,,19.55032923,12075.56341,,,,
,,,19.6305643,12152.59979,,,,
,,,19.73371252,12248.89527,,,,
,,,19.83596132,12123.71115,,,,
,,,19.92757475,12191.11798,,,,
,,,20.03162237,12508.89306,,,,
,,,20.10990221,12104.45205,,,,
,,,20.23525967,12046.67477,,,,
,,,20.31561206,12152.59979,,,,
,,,20.40706907,12181.48844,,,,
,,,20.48679579,12133.3407,,,,
,,,20.6243528,12268.15437,,,,
,,,20.71514504,12133.3407,,,,
,,,20.85270205,12268.15437,,,,
,,,20.93274161,12297.04301,,,,
,,,21.30908772,12191.11798,,,,
,,,21.43499264,12268.15437,,,,
,,,21.51483667,12248.89527,,,,
,,,21.70889443,12239.26572,,,,
,,,21.78885577,12248.89527,,,,
,,,21.89180846,12297.04301,,,,
,,,21.98314816,12297.04301,,,,
,,,22.22260204,12220.00663,,,,
,,,22.35957248,12210.37708,,,,
,,,22.43949472,12210.37708,,,,
,,,22.63327874,12133.3407,,,,
,,,22.7133183,12162.22934,,,,
,,,22.804658,12162.22934,,,,
,,,22.88442382,12123.71115,,,,
,,,23.02076859,11960.00884,,,,
,,,23.15742619,11873.34291,,,,
,,,23.24853126,11815.56562,,,,
,,,23.46522842,11757.78833,,,,
,,,23.6594426,11786.67698,,,,
,,,23.70507335,11777.04743,,,,
